KWebEntityId	Version	ChangeTime	IsDeleted	IsPrivate	x	y	City	State	CountryId	_0	StateId	ChangeUserId	Population
30373	3	2011-08-22	0	0	10.85	49.9	Gaustadt		26878		36016	20	
30374	3	2011-08-22	0	0	11.38	48.08	Gauting		26878		36016	20	
30375	3	2011-08-21	0	0	12.32	51.28	Gautzsch		26878		36023	20	
30376	2	2011-07-12	0	0	9.02	45.83	Gavirate		26930			20	
30377	2	2011-07-12	0	0	17.13	49.02	Gaya		26877			20	
30378	2	2011-07-12	0	0	10.98	45.07	Gazzuolo		26930			20	
30379	2	2011-07-12	0	0	7.22	47.9	Gebweiler		26896			20	
30380	2	2011-07-12	0	0	4.87	51.7	Geerdruidenberg		26983			20	
30381	3	2011-08-21	0	0	8.58	53.53	Geestemuende		26878		36019	20	
30382	3	2011-08-21	0	0	10.38	53.43	Geesthacht		26878		36025	20	
30383	3	2011-08-21	0	0	11.85	50.45	Gefell		26878		36026	20	
30384	3	2011-08-22	0	0	11.75	50.1	Gefrees		26878		36016	20	
30385	3	2011-08-21	0	0	10.78	50.68	Gehlberg		26878		36026	20	
30386	3	2011-08-21	0	0	8.65	52.3	Gehlenbeck		26878		36020	20	
30387	3	2011-08-21	0	0	12.25	52.25	Gehlsdorf		26878		29314	20	
30388	3	2011-08-21	0	0	9.6	52.32	Gehrden		26878		36019	20	
30389	4	2011-07-14	0	0	11	50.62	Gehren		26878		36026	20	
30390	3	2011-08-21	0	0	13.67	51.07	Gehren@Brandenburg		26878		36023	20	
30391	3	2011-08-21	0	0	6.12	50.97	Geilenkirchen		26878		36020	20	
30392	3	2011-08-22	0	0	12.03	50.42	Geilsdorf		26878		36023	20	
30393	3	2011-08-22	0	0	11.6	48.68	Geisenfeld		26878		36016	20	
30394	3	2011-08-22	0	0	7.98	49.98	Geisenheim		26878		36021	20	
30395	3	2011-08-22	0	0	9.83	48.63	Geislingen@Steige		26878		36015	20	
30396	3	2011-08-21	0	0	10.18	51.22	Geismar		26878		36026	20	
30397	3	2011-08-21	0	0	7.28	50.77	Geistigen		26878		36020	20	
30398	3	2011-08-21	0	0	12.7	51.07	Geithaim		26878		36023	20	
30399	3	2011-08-21	0	0	6.32	51.52	Geldern		26878		36020	20	
30400	3	2011-08-22	0	0	10.15	50.05	Geldersheim		26878		36016	20	
30401	3	2011-08-21	0	0	12.65	50.65	Gelenau		26878		36023	20	
30402	2	2011-07-12	0	0	38.07	44.55	Gelentschik		27007			20	
30403	3	2011-08-21	0	0	13.22	54.47	Gellern		26878		36018	20	
30404	3	2011-08-22	0	0	9.17	50.22	Gelnhausen		26878		36017	20	
30405	3	2011-08-21	0	0	7.09	51.51	Gelsenkirchen		26878		36020	20	
30406	3	2011-08-21	0	0	6.52	50.58	Gemuend		26878		36020	20	
30407	4	2011-07-14	0	0	8.98	50.97	Gemuenden		26878		36017	20	
30408	3	2011-08-22	0	0	9.7	50.07	Gemuenden@Unterfranken		26878		36016	20	
30409	2	2011-07-12	0	0	6.15	46.18	Genf=Geneva		26865			20	
30410	3	2011-08-22	0	0	8.02	48.42	Gengenbach		26878		36015	20	
30411	2	2011-07-12	0	0	6.28	51.52	Geniel		27001			20	
30412	2	2011-07-12	0	0	3.73	51.05	Gent		26844			20	
30413	3	2011-08-21	0	0	12.18	52.42	Genthin		26878		36024	20	
30414	3	2011-08-21	0	0	12.15	52.4	Gentin		26878		36024	20	
30415	2	2011-07-12	0	0	8.95	44.42	Genua		26930			20	
30416	2	2011-07-12	0	0	-58.17	6.78	Georgetown		26915			20	
30417	2	2011-07-12	0	0	43.48	44.15	Georgiewsk		27007			20	
30418	2	2011-07-12	0	0	14.37	45.7	Georgsthal		27061			20	
30419	4	2011-08-21	0	0	12.083	50.87	Gera		26878		36026	20	
30420	3	2011-08-21	0	0	10.82	50.7	Geraberg		26878		36026	20	
30421	3	2011-08-22	0	0	9.93	49.25	Gerabronn		26878		36015	20	
30422	3	2011-08-22	0	0	9.35	48.82	Geratstetten		26878		36015	20	
30423	5	2011-08-21	0	0	21.3	54.35	Gerdauen		27007		36942	20	
30424	3	2011-08-22	0	0	9.82	48.4	Gerhausen		26878		36015	20	
30425	3	2011-08-21	0	0	12.92	51.08	Geringswalde		26878		36023	20	
30426	3	2011-08-22	0	0	9.73	49.55	Gerlachsheim		26878		36015	20	
30427	3	2011-08-22	0	0	10.02	48.33	Gerlenhofen		26878		36016	20	
30428	3	2011-08-22	0	0	8.37	49.22	Germersheim		26878		36015	20	
30429	3	2011-08-21	0	0	11.13	51.72	Gernrode		26878		36024	20	
30430	3	2011-08-22	0	0	8.33	48.77	Gernsbach		26878		36015	20	
30431	3	2011-08-22	0	0	8.48	49.75	Gernsheim		26878		36017	20	
